Habilidad_base,Habilidad_proceso_intermedio,Variación_semántica_habilidad,N_cluster,Habilidad_representativa_cluster
sistemas envolventes edificios,sistemas envolventes edificios,Sistemas envolventes edificios,1287,Diseñar sistemas arquitectónicos y envolventes para edificios
elegir herradura adecuada cada caballo,elegir herradura adecuada cada caballo,Elegir herradura adecuada cada caballo,1288,Herrar caballos profesionalmente
herrar caballerías,colocar herraduras en caballerías,Colocar herraduras en caballerías,1288,Herrar caballos profesionalmente
inspeccionar señalización carreteras,inspeccionar señalización carreteras,Inspeccionar señalización carreteras,1289,Gestionar señalización de tráfico
interpretar señales tráfico,interpretar señales tráfico,Interpretar señales tráfico,1289,Gestionar señalización de tráfico
señales tráfico,identificar señales de tráfico,Identificar señales de tráfico,1289,Gestionar señalización de tráfico
mantener señales tráfico,mantener señales tráfico,Mantener señales tráfico,1289,Gestionar señalización de tráfico
actuar calma situaciones estrés,actuar calma situaciones estrés,Actuar calma situaciones estrés,1290,Gestionar y tolerar situaciones de estrés
gestionar estrés,gestionar estrés,Gestionar estrés,1290,Gestionar y tolerar situaciones de estrés
gestionar situaciones estrés,gestionar situaciones estrés,Gestionar situaciones estrés,1290,Gestionar y tolerar situaciones de estrés
gestionar miedo escénico,gestionar miedo escénico,Gestionar miedo escénico,1290,Gestionar y tolerar situaciones de estrés
hacer frente estrés organización,hacer frente estrés organización,Hacer frente estrés organización,1290,Gestionar y tolerar situaciones de estrés
tolerar estrés,tolerar el estrés,Tolerar el estrés,1290,Gestionar y tolerar situaciones de estrés
preparar equipos pesca,preparar equipos pesca,Preparar equipos pesca,1291,Preparar equipos para actividades marítimas
preparar equipos navegación,preparar equipos navegación,Preparar equipos navegación,1291,Preparar equipos para actividades marítimas
preparar motores navegación,preparar motores navegación,Preparar motores navegación,1291,Preparar equipos para actividades marítimas
preparar equipo cubierta,preparar equipo cubierta,Preparar equipo cubierta,1291,Preparar equipos para actividades marítimas
atender consultas veterinarias,atender consultas veterinarias,Atender consultas veterinarias,1292,Brindar atención veterinaria integral
atender pacientes veterinarios,atender pacientes veterinarios,Atender pacientes veterinarios,1292,Brindar atención veterinaria integral
ocuparse emergencias veterinarias,ocuparse emergencias veterinarias,Ocuparse emergencias veterinarias,1292,Brindar atención veterinaria integral
prestar apoyo clientes clínica veterinaria,prestar apoyo clientes clínica veterinaria,Prestar apoyo clientes clínica veterinaria,1292,Brindar atención veterinaria integral
express nodejs,express ejecutar programas con nodejs,Express ejecutar programas con nodejs,1293,Ejecutar programas en node.js
nodejs,ejecutar programas con nodejs,Ejecutar programas con nodejs,1293,Ejecutar programas en node.js
modelización riesgos,modelización riesgos,Modelización riesgos,1294,Evaluar y modelizar riesgos financieros
técnicas análisis riesgos cualitativas,técnicas análisis riesgos cualitativas,Técnicas análisis riesgos cualitativas,1294,Evaluar y modelizar riesgos financieros
técnicas análisis riesgos cuantitativas,técnicas análisis riesgos cuantitativas,Técnicas análisis riesgos cuantitativas,1294,Evaluar y modelizar riesgos financieros
inmunohematología,aplicar estudios de inmunohematología,Aplicar estudios de inmunohematología,1295,Aplicar conocimientos y técnicas en inmunología
inmunología,aplicar conocimientos en inmunología,Aplicar conocimientos en inmunología,1295,Aplicar conocimientos y técnicas en inmunología
inmunología clínica,aplicar conocimientos en inmunología clínica,Aplicar conocimientos en inmunología clínica,1295,Aplicar conocimientos y técnicas en inmunología
inmunología molecular celular,aplicar conocimientos en inmunología molecular celular,Aplicar conocimientos en inmunología molecular celular,1295,Aplicar conocimientos y técnicas en inmunología
inmunoterapia,aplicar inmunoterapia,Aplicar inmunoterapia,1295,Aplicar conocimientos y técnicas en inmunología
teñir velas,teñir velas,Teñir velas,1296,Teñir materiales diversos
teñir pelucas,teñir pelucas,Teñir pelucas,1296,Teñir materiales diversos
teñir tejidos,teñir tejidos,Teñir tejidos,1296,Teñir materiales diversos
métodos construcción,utilizar metodos de construcción,Utilizar metodos de construcción,1297,Aplicar técnicas de fabricación y construcción
métodos fabricación,utilizar metodos de fabricación,Utilizar metodos de fabricación,1297,Aplicar técnicas de fabricación y construcción
definir métodos fabricación utilería,definir métodos fabricación utilería,Definir métodos fabricación utilería,1297,Aplicar técnicas de fabricación y construcción
desarrollar estrategias cooperación internacional,desarrollar estrategias cooperación internacional,Desarrollar estrategias cooperación internacional,1298,Desarrollar estrategias de investigación y cooperación internacional
desarrollar estrategia investigación,desarrollar estrategia investigación,Desarrollar estrategia investigación,1298,Desarrollar estrategias de investigación y cooperación internacional
realizar investigación estratégica,investigación estratégica,Realizar investigación estratégica,1298,Desarrollar estrategias de investigación y cooperación internacional
mezclar pinturas vehículos,mezclar pinturas vehículos,Mezclar pinturas vehículos,1299,Preparar y mezclar pinturas para vehículos
preparar vehículos pintado,preparar vehículos pintado,Preparar vehículos pintado,1299,Preparar y mezclar pinturas para vehículos
asegurarse contenido envío corresponde documentación respectiva,asegurarse contenido envío corresponde documentación respectiva,Asegurarse contenido envío corresponde documentación respectiva,1300,Verificar documentación de envíos
ocuparse documentación envíos,ocuparse documentación envíos,Ocuparse documentación envíos,1300,Verificar documentación de envíos
verificar documentación envío mercancía,verificar documentación envío mercancía,Verificar documentación envío mercancía,1300,Verificar documentación de envíos
negociar préstamos,negociar préstamos,Negociar préstamos,1301,Gestionar procesos de préstamos
preparar contratos préstamo,preparar contratos préstamo,Preparar contratos préstamo,1301,Gestionar procesos de préstamos
analizar legislación,analizar legislación,Analizar legislación,1302,Interpretar normativas legales
analizar obligatoriedad jurídica,analizar obligatoriedad jurídica,Analizar obligatoriedad jurídica,1302,Interpretar normativas legales
leer guiones,leer guiones,Leer guiones,1303,Analizar y seleccionar guiones literarios
teorías escritura guiones,teorías escritura guiones,Teorías escritura guiones,1303,Analizar y seleccionar guiones literarios
analizar guion,analizar guiones,Analizar guiones,1303,Analizar y seleccionar guiones literarios
revisar guiones,revisar guiones,Revisar guiones,1303,Analizar y seleccionar guiones literarios
seleccionar guiones,seleccionar guiones,Seleccionar guiones,1303,Analizar y seleccionar guiones literarios
aclarar película fotográfica,aclarar película fotográfica,Aclarar película fotográfica,1304,Manejar proceso de película fotográfica
lavar película fotográfica,lavar película fotográfica,Lavar película fotográfica,1304,Manejar proceso de película fotográfica
reparar película fotográfica,reparar película fotográfica,Reparar película fotográfica,1304,Manejar proceso de película fotográfica
cortar película fotográfica,cortar película fotográfica,Cortar película fotográfica,1304,Manejar proceso de película fotográfica
industria editorial,analizar la industria editorial,Analizar la industria editorial,1305,Analizar el sector editorial
mercado editorial,analizar el mercado editorial,Analizar el mercado editorial,1305,Analizar el sector editorial
supervisar efectos medicación,supervisar efectos medicación,Supervisar efectos medicación,1306,Supervisar procesos terapéuticos y medicación en pacientes
supervisar evolución pacientes relación tratamiento,supervisar evolución pacientes relación tratamiento,Supervisar evolución pacientes relación tratamiento,1306,Supervisar procesos terapéuticos y medicación en pacientes
supervisar evolución terapéutica,supervisar evolución terapéutica,Supervisar evolución terapéutica,1306,Supervisar procesos terapéuticos y medicación en pacientes
seguir instrucciones dentista,seguir instrucciones dentista,Seguir instrucciones dentista,1307,Aplicar procedimientos dentales siguiendo instrucciones
ocuparse agitador,manejar agitadores industriales,Manejar agitadores industriales,1308,Operar maquinaria industrial
examinar equipos industriales,examinar equipos industriales,Examinar equipos industriales,1308,Operar maquinaria industrial
manejar equipos industriales,manejar equipos industriales,Manejar equipos industriales,1308,Operar maquinaria industrial
